sequence,unit_id,corpus,model,protocol,seed,outer_fold,n_outer_folds,n_fit,n_validation,n_outer_test,manifest_sha256,cache_sha256,outer_fold_sha256,inner_split_path,inner_split_sha256
465,cremad__cnn__loso__s0__f026,cremad,cnn,loso,0,26,91,5493,1867,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,542f8992f0d37cafff9d5473145200ed237fd3c3c7062529543d5e7760d8f28b,splits/inner/cremad/loso/fold_026_seed_0.npz,39be145916fde6e0bbb40742258a1c80bb25fa0e581d29b2b6a7cd40fdaf8e70
466,cremad__cnn__loso__s0__f027,cremad,cnn,loso,0,27,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,da2fb240ebe385b6bf311f1b8a6f89dc1394ed4d55021040694532bf5541405b,splits/inner/cremad/loso/fold_027_seed_0.npz,1cfa301ac260c605611bfa167627372974e6cfd70b3d93f0c2439b77a79d02b1
467,cremad__cnn__loso__s0__f028,cremad,cnn,loso,0,28,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,e2488c11fc721af35f13dbe41f681b0540f344115f72c2ed15e83b1f9c76e67b,splits/inner/cremad/loso/fold_028_seed_0.npz,b34b849d7bc1477836aed0aa83d3dc994592f686afbce0c25f3b907d394f883b
468,cremad__cnn__loso__s0__f029,cremad,cnn,loso,0,29,91,5476,1884,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,23d09869c029d8601836dea6240220418d15b34c6947f8c295d9bf803f12728e,splits/inner/cremad/loso/fold_029_seed_0.npz,9304629fad33967bd0907a96c9dfed6738246c1f3c33b917c9e0d0eb4db08da4
469,cremad__cnn__loso__s0__f030,cremad,cnn,loso,0,30,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,488ed223d2160ab93b678b91fd7af2eaf12b4b27d31ccaa8ba9cc402d5c0b01f,splits/inner/cremad/loso/fold_030_seed_0.npz,fdb8874de1fd616f671c0ba37b74b4aaa28a81b3b8e03b372cce875de0e1a4ec
470,cremad__cnn__loso__s0__f031,cremad,cnn,loso,0,31,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d5a2699511416923ba652f70d9831abe76ffd01a0dea6060cecb8ebcf335e602,splits/inner/cremad/loso/fold_031_seed_0.npz,c0c3031de86b198d44f507e6770ac4cae5e30e340b5fbbe27c53442d333fed2b
471,cremad__cnn__loso__s0__f032,cremad,cnn,loso,0,32,91,5487,1873,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,b71d5bc52db6b937f00496b7496505e155600cb8c98a70b902914666c284afdb,splits/inner/cremad/loso/fold_032_seed_0.npz,d2335cb494d20f818d5fa4ae6774036e16592528e457c6e449a6be27331c47da
472,cremad__cnn__loso__s0__f033,cremad,cnn,loso,0,33,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f3dda75d832c5ab508915f73303bff51c6e5469614c17cfd4a9f9fa78e634d0e,splits/inner/cremad/loso/fold_033_seed_0.npz,29cf04e8e848c4f27c88e06f0190ffbabc60ee11997414bb754d4809a003be73
473,cremad__cnn__loso__s0__f034,cremad,cnn,loso,0,34,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,0c262c9ec85d59fab5bbf859497ba963cf9037794e5279ed38c93d770cfd471a,splits/inner/cremad/loso/fold_034_seed_0.npz,d3d61093d0d93eefe67dad5206034e6688cefe95661c35fd4177d49416eda688
474,cremad__cnn__loso__s0__f035,cremad,cnn,loso,0,35,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,106df74779067135aa34d5c31b05a2158fdfd0662c43ab181e1aa05b8a1b1052,splits/inner/cremad/loso/fold_035_seed_0.npz,3561aebe56239e68c8249ec7cb8ff5ba08c69f330729d93c5b2c05b30e1f9185
475,cremad__cnn__loso__s0__f036,cremad,cnn,loso,0,36,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d267c697e4c63507c3931627627781e4a69726b72852a3f4a897807e65c5db73,splits/inner/cremad/loso/fold_036_seed_0.npz,7ca3fdecb4c90b5b8c578cb652ff9622dfcb315a59a10808b47cd1ee252ea482
476,cremad__cnn__loso__s0__f037,cremad,cnn,loso,0,37,91,5476,1884,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,86098f3337120eddf6a0209989fa54f8153e1021a0395d2bc85de49eba643d75,splits/inner/cremad/loso/fold_037_seed_0.npz,d4cca7bdd24d8948b50765cf12b365bcf2d4b47b8871840eaf59085f38793e63
477,cremad__cnn__loso__s0__f038,cremad,cnn,loso,0,38,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,e2e66da0cef863ad486ae9fdd94e59c6b59a793b3e0107e3c33e5353dd48de81,splits/inner/cremad/loso/fold_038_seed_0.npz,a98b30ea42c3aade6331f9e1e356a81a49ffd2d56759aaf192fdda22dbc641d5
478,cremad__cnn__loso__s0__f039,cremad,cnn,loso,0,39,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,34c8e27f93baaba7615a47a0dadc83344f54c56f701cc2efcb4241fceb36e90d,splits/inner/cremad/loso/fold_039_seed_0.npz,1f3fa499bf0be775b8f3feb4052892170d89e7a262edaeb592f6e3eaae47279b
479,cremad__cnn__loso__s0__f040,cremad,cnn,loso,0,40,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,c783d27d5c192dfaab0f15f57932f36b6d1244fb935a6dce2464d3b932a77ad2,splits/inner/cremad/loso/fold_040_seed_0.npz,08f7e064c45506906f73dba46623638dc179de0cacd4b3faaadb21b5a70e10bd
480,cremad__cnn__loso__s0__f041,cremad,cnn,loso,0,41,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,4d4c036c56a3e1a67fa07aa6280731a578490a48813e551a7d5c59b37d2982b2,splits/inner/cremad/loso/fold_041_seed_0.npz,66fcfe1b65f91e256a5ebdebc9601af1344effc65084df364925f033892c85cc
481,cremad__cnn__loso__s0__f042,cremad,cnn,loso,0,42,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,c91ac825d03b938acf2df28fddb4ed4adc455d1bc9cc36a5e72a254bf682005a,splits/inner/cremad/loso/fold_042_seed_0.npz,5391308316c90cc28d83420b261669c0764f1192e72dd735339d814b9865a4c4
482,cremad__cnn__loso__s0__f043,cremad,cnn,loso,0,43,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,eeb05f6ddf09df3d5d0d0083736be8e4286638cddf648aecf4d6ade73bf18004,splits/inner/cremad/loso/fold_043_seed_0.npz,3bae87752dc2fbc8a36bf651feec0a8fee9fe2b511002f21802c6d9aaf86daf1
483,cremad__cnn__loso__s0__f044,cremad,cnn,loso,0,44,91,5487,1873,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,cbaea5337e69c9fdf5496b47566db3f558bbecacbb47a29caf567ae195343a3a,splits/inner/cremad/loso/fold_044_seed_0.npz,73610e31c6b3f86e9574fe65d27b036e78f610fb1ba7ee2d5e745d7762772e0b
484,cremad__cnn__loso__s0__f045,cremad,cnn,loso,0,45,91,5492,1868,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f0090154fa552a34830fedb9c4cb18ada171d832848b7b3547d1fb2e68e217e1,splits/inner/cremad/loso/fold_045_seed_0.npz,88c6aaccef9f1bb40d0c756ba0ab44628fa3b1cc533b6cfe8450d678294db213
485,cremad__cnn__loso__s0__f046,cremad,cnn,loso,0,46,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,bf3fd8b2f9a987cadd6cab2a18f2a6f1379cc14adbd25feb5a87839f26792334,splits/inner/cremad/loso/fold_046_seed_0.npz,1cf7ff1d223e26e4fcfbdf6de5960c542a2e2284ee53f8b5594b482eae0b5edd
486,cremad__cnn__loso__s0__f047,cremad,cnn,loso,0,47,91,5492,1868,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,4ee9e3e30b0c4162636262ecc4603e6f6daa11d9985a187efdbe5cebc0ffed34,splits/inner/cremad/loso/fold_047_seed_0.npz,d4b9623c4e71ff587f8c75401326a6b84c7e8f24cba2d0bdeebb409723d4b3d4
487,cremad__cnn__loso__s0__f048,cremad,cnn,loso,0,48,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,a4e8bf69457db5c195b56a7037249677485431fef8355c45f7df3f841d29997f,splits/inner/cremad/loso/fold_048_seed_0.npz,6f16555ce07f1e0ec4f15559ab69b4d7bd084f55111fab339fbea0bbc5228c6c
488,cremad__cnn__loso__s0__f049,cremad,cnn,loso,0,49,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,a71ed54e9d2da08f3b7343fc6ff53b79823f0f8af70c357158bb84438375b571,splits/inner/cremad/loso/fold_049_seed_0.npz,28e2e606de6126a563f65e15ba001719da7a62b6dc73710600db5c5eb32cc53a
489,cremad__cnn__loso__s0__f050,cremad,cnn,loso,0,50,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,753ec0d4c63727ee441d8c30619f38673110dc40ea9dda8e0a8620de301064c0,splits/inner/cremad/loso/fold_050_seed_0.npz,0941f867ee244732e3d8c55cd6b365671472e78ccdf9244b85dd32928245d1cf
490,cremad__cnn__loso__s0__f051,cremad,cnn,loso,0,51,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,fd5cdff14151b987a37844274c3e9a888d3614de61828b0545723e5fdfb1bfa4,splits/inner/cremad/loso/fold_051_seed_0.npz,f25fad815719dedaacbcfe0f75f91f5d2858134976a1f1de71d0eb8c64a2112a
491,cremad__cnn__loso__s0__f052,cremad,cnn,loso,0,52,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,a446b8c109f6a669619ac0f4d0ed3331c80ac69f0b8e9cf24d34660fdaa2539c,splits/inner/cremad/loso/fold_052_seed_0.npz,631b84fcaacd34a2de001e10a917f63eb1a135b378d8a77b893fecdd0ab9d511
492,cremad__cnn__loso__s0__f053,cremad,cnn,loso,0,53,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d28464fc40b3eb9662a3c5d249527403f964450fa728ec28206a8776a2521b50,splits/inner/cremad/loso/fold_053_seed_0.npz,eda6a661e49502d0becfa395cadef52256ca310de7bdbed2bad4ee98198a57e9
493,cremad__cnn__loso__s0__f054,cremad,cnn,loso,0,54,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,68c6cbe40414321eaaecc4123cd52869920038e5ca90c370ed052656a53101d2,splits/inner/cremad/loso/fold_054_seed_0.npz,feb5e85fab04abeea8c9e0acaa312815dd3ef7dec334b5ec9dd7c7234afa941a
494,cremad__cnn__loso__s0__f055,cremad,cnn,loso,0,55,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,019d2aa4643e7f05308689d0249c347bc1fdd7696f24c8ff9af59da6816e2648,splits/inner/cremad/loso/fold_055_seed_0.npz,dbee8cee3b039b93184f41178efb929dae2e82ceb4b259e631a3de85e0fa8e85
495,cremad__cnn__loso__s0__f056,cremad,cnn,loso,0,56,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,aadaa8eddd37b02ed8701f875f98dc2a0e4773991dfab4fa8608324725f52e59,splits/inner/cremad/loso/fold_056_seed_0.npz,4226ccad8b50c2779f9a68697f3904e73f4a271cfd03a494da6b4de4104a2b1f
496,cremad__cnn__loso__s0__f057,cremad,cnn,loso,0,57,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,12f4701d92cc850b7f117249e3a840e0c890f148733e9d57c311828a8443abbc,splits/inner/cremad/loso/fold_057_seed_0.npz,1c0718d08e1161a0e2b8c9a75988151a8dc57480f1e5ab8668021341a6d1fe6e
497,cremad__cnn__loso__s0__f058,cremad,cnn,loso,0,58,91,5488,1872,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,e0c126ca5680dad2e86dbe8f1b040dc2c30461ddb54802a273648fc17b8c76b4,splits/inner/cremad/loso/fold_058_seed_0.npz,b9103280fba3563021fa5016d997d69b6397d788f60a9e593aff8fc862159470
498,cremad__cnn__loso__s0__f059,cremad,cnn,loso,0,59,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,61c0604646bf210641c9249de745ecad0eabdcf2a5775d001f2a98724d944af9,splits/inner/cremad/loso/fold_059_seed_0.npz,4f738ffa304826d58de7b084504b04cf8467fa1ba794da42abdbd8c483094647
499,cremad__cnn__loso__s0__f060,cremad,cnn,loso,0,60,91,5482,1878,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f5fbf4dcca14d8906b626ebf3b0985e3cc853eed65d003165fefaa76cd152d2f,splits/inner/cremad/loso/fold_060_seed_0.npz,0594baea311d2bd37aa10bdb08cb4b4987c9dc62f42a367c2097a74da7a25f58
500,cremad__cnn__loso__s0__f061,cremad,cnn,loso,0,61,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,d20138c076a4d9d8240d462748cb787c76ae6f006ac5fe24cb9d78337e08367f,splits/inner/cremad/loso/fold_061_seed_0.npz,5f526da91b200256fc718ff33037e2f4bd3dc223c4e979999c253e76b066a272
501,cremad__cnn__loso__s0__f062,cremad,cnn,loso,0,62,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,43a144633bb35dc65d0acd72e0372a1856327ecf1f61816136d5fd765c49d38f,splits/inner/cremad/loso/fold_062_seed_0.npz,df104675894850f16107f8f44dfad2981bf2d9dfe267df04ec97923815c4c15c
502,cremad__cnn__loso__s0__f063,cremad,cnn,loso,0,63,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,04fd790d0c59be6271973cc2bfb6341248cee916315f68e30a1bef4a613d776b,splits/inner/cremad/loso/fold_063_seed_0.npz,ee132c5c3c0563812ba832ed69504aae1575a77cb25731f4d62216d5b0900954
503,cremad__cnn__loso__s0__f064,cremad,cnn,loso,0,64,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,090310d451032f0eb0ec292c5b985f831b0ada639d3cacba258589bf32c23921,splits/inner/cremad/loso/fold_064_seed_0.npz,b06f858419c115c7a5f6d7f7366f963bc91c2eab06a981697ea6407e33f4311a
504,cremad__cnn__loso__s0__f065,cremad,cnn,loso,0,65,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,bdebc64ebcc0c8ee0b1778f36e160393ddf2ce994eff4d935b996a3fcd3f132d,splits/inner/cremad/loso/fold_065_seed_0.npz,d1230b9e198c58a01d5ed285a20ee47177e8a20feda65afa988139f83f5ea8ac
505,cremad__cnn__loso__s0__f066,cremad,cnn,loso,0,66,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,47d3f27cf710ad8ccd9cafeb1042648e4f26209471ab3b7877d0a0561d63830c,splits/inner/cremad/loso/fold_066_seed_0.npz,90491f9a0da27cf9e34be4633b7871f236023c00930338d28cf08f0526860bdf
506,cremad__cnn__loso__s0__f067,cremad,cnn,loso,0,67,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f0be0cee1af0f7dfee194f002163c33f0129876e8a4df69ee3c6dbed44fc65bb,splits/inner/cremad/loso/fold_067_seed_0.npz,710a940723041c6c4c454c14daf74aa6829bc5730c8d47982a94cb60c6a06e49
507,cremad__cnn__loso__s0__f068,cremad,cnn,loso,0,68,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,a5c1b276808833e9a14334765783df1c8a86959979073d5155fd97b39de72081,splits/inner/cremad/loso/fold_068_seed_0.npz,c67469c5ebd72fb1d082ef6b97b3813a6446f39b90f60f9cc3f85d838c9fbb46
508,cremad__cnn__loso__s0__f069,cremad,cnn,loso,0,69,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,6350f72e7cb52bd1ec1c9651c32a80f822ac74d358ceec4d075fd4b3b5bac834,splits/inner/cremad/loso/fold_069_seed_0.npz,94473e0bafc087ddf8e2dfcadd45272c461c48b578beaac1914875ceebdfb75c
509,cremad__cnn__loso__s0__f070,cremad,cnn,loso,0,70,91,5487,1873,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,1b6218a815491dda57840134641451434dd9099591dde0ac745bf8b6b8c04c9e,splits/inner/cremad/loso/fold_070_seed_0.npz,b5258ee8c770f42ef0ac48a5be29132df175754c0b102ac704a396c623830f26
510,cremad__cnn__loso__s0__f071,cremad,cnn,loso,0,71,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,e00a948a08e86bbdde98d77c27016f3d2dfed1135b28a7d289ec676ad472bbb4,splits/inner/cremad/loso/fold_071_seed_0.npz,042e8c7c6fb7bb709445b3c34f8f31793bbb1f94d30abb8055fa2b1140d72e24
511,cremad__cnn__loso__s0__f072,cremad,cnn,loso,0,72,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,ba9b6ff1ea3a598d3397c7909d6196d349da889e0af9d5b07046eb93ebfc51c3,splits/inner/cremad/loso/fold_072_seed_0.npz,c1412ca282ab4c8da61867f5df1b59f88db3921666e8d7266b28b3c672c96cd1
512,cremad__cnn__loso__s0__f073,cremad,cnn,loso,0,73,91,5475,1885,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,5ca2bc5dc99b909c4c95ae5fab0f90943522ad89be2d0c54aac259a04d2a3e22,splits/inner/cremad/loso/fold_073_seed_0.npz,90fac2f8ecd5e745b50444c94ece7817dab7bbf0f08edb926b0712f7145e9648
513,cremad__cnn__loso__s0__f074,cremad,cnn,loso,0,74,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,780eff354232a4d333ee44a52fd12178dc4bce5ba1b869859e986b86bd8235ef,splits/inner/cremad/loso/fold_074_seed_0.npz,0733bd7a2c2631c4508ca1b3b95eda430a8bb9272b82926033eb9a8c5e78af29
514,cremad__cnn__loso__s0__f075,cremad,cnn,loso,0,75,91,5488,1873,81,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,5cf530a602e5b9da69c4b06660a9ee0416ab0c3f52a05430b53b27ae9d33be31,splits/inner/cremad/loso/fold_075_seed_0.npz,377f08b75db251b5f3e36a588b72f0153ea53e0c155a59554ca4417a635498d8
515,cremad__cnn__loso__s0__f076,cremad,cnn,loso,0,76,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,dc5f5c9ed308d63f97301eeeaaefcaae22ea769d5646f7485d614160b57d9fc7,splits/inner/cremad/loso/fold_076_seed_0.npz,8959dd9d874cba6d11d24355980b8e161de37e427cc0c3c6c16c1f2b93acce23
516,cremad__cnn__loso__s0__f077,cremad,cnn,loso,0,77,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,bf0275c6fb27d640a501ebd0764737ccf14dbab60c80d17a9a026e47f6eb1711,splits/inner/cremad/loso/fold_077_seed_0.npz,c184c24e1d379c42785a59f2d21045f60df26915ce2a40626a4662e596ca4044
517,cremad__cnn__loso__s0__f078,cremad,cnn,loso,0,78,91,5474,1886,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,c9ebdf24606d4b8fe6e587bedde46bcba6763a6a91f840d77c8b50f74846910f,splits/inner/cremad/loso/fold_078_seed_0.npz,3a5aed57f9ec95ca1ea2acd50a5117f13e0d1d6d92fdbf4f64695cac93c15c30
518,cremad__cnn__loso__s0__f079,cremad,cnn,loso,0,79,91,5481,1879,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,b0b16a5cba8034df0d30fd419f974afcd32c339debbdbdff1583003940a5ca61,splits/inner/cremad/loso/fold_079_seed_0.npz,8baa6f50491739e1b01518a07bfad3a2ecc4ab794ccbb003810367d9d0541ce6
519,cremad__cnn__loso__s0__f080,cremad,cnn,loso,0,80,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,f69686a3f947d3702f517275580df8179f7d132a5ad5dcf7a2a28c54c342fb9d,splits/inner/cremad/loso/fold_080_seed_0.npz,950e507e227917edb7fb55b7b3aa4ab8fe73da4551795f6b84a18fec684c3c5d
520,cremad__cnn__loso__s0__f081,cremad,cnn,loso,0,81,91,5480,1880,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,76ad0e4de6a36f8213881821f99884acedf5a407eb3d245af26d2da35363e018,splits/inner/cremad/loso/fold_081_seed_0.npz,f0f778a6affca181d99687c319ab093233b4e8072c5a58461822836b4d2656c5
521,cremad__cnn__loso__s0__f082,cremad,cnn,loso,0,82,91,5486,1874,82,8b628265bcea9ed36ac96a0fffe753423a8c4d8c87befb5775a2ca36c673c9b8,c49136162c65e38a1f39a62e4de6878ec490a40947e02ab82f35da53c9e06fef,2675b60e38166851f71ee4fa0dd06e96800206e6f50b9bfd468eebfed2570199,splits/inner/cremad/loso/fold_082_seed_0.npz,cccb0f61b857e7891006d3f9f1c01b6cafd1e741f64f8d3dfc3234220f18e6aa
